DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/urls/utils.py first seen with mtime 1764340271.714424
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/PIL/ImageMode.py first seen with mtime 1764341206.7487326
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1764340271.6335218
DEBUG 2025-12-04 07:00:04,343 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/sqlite3/dbapi2.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/utils/representation.py first seen with mtime 1764340387.6207929
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/forms/renderers.py first seen with mtime 1764340271.6869123
DEBUG 2025-12-04 07:00:04,343 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/statistics.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/template/utils.py first seen with mtime 1764340271.7081735
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1764340271.2137034
DEBUG 2025-12-04 07:00:04,343 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/tasks.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/models/sql/query.py first seen with mtime 1764340271.684458
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/backends/base/operations.py first seen with mtime 1764340271.6607134
DEBUG 2025-12-04 07:00:04,343 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pickle.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,343 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/json/scanner.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/core/mail/message.py first seen with mtime 1764340271.647317
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django_filters/constants.py first seen with mtime 1764340401.4066317
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/core/checks/compatibility/__init__.py first seen with mtime 1764340271.6419616
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/utils/crypto.py first seen with mtime 1764340271.716055
DEBUG 2025-12-04 07:00:04,343 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/json/__init__.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/models/fields/related.py first seen with mtime 1764340271.6806188
DEBUG 2025-12-04 07:00:04,343 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/multiprocessing/__init__.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,343 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/textwrap.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,343 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pkgutil.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/core/wsgi.py first seen with mtime 1764340271.6378949
DEBUG 2025-12-04 07:00:04,343 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/sqlparse/sql.py first seen with mtime 1764340270.794606
DEBUG 2025-12-04 07:00:04,344 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/utils/html.py first seen with mtime 1764340387.6199994
DEBUG 2025-12-04 07:00:04,344 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/backends/sqlite3/introspection.py first seen with mtime 1764340271.6707864
DEBUG 2025-12-04 07:00:04,344 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/backends/__init__.py first seen with mtime 1764340271.6583676
DEBUG 2025-12-04 07:00:04,344 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/rest_framework/versioning.py first seen with mtime 1764340387.5671766
DEBUG 2025-12-04 07:00:04,344 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_socket.cpython-313-darwin.so first seen with mtime 1751932474.466063
DEBUG 2025-12-04 07:00:04,344 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/warnings.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,344 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/string.py first seen with mtime 1749656217.0
DEBUG 2025-12-04 07:00:04,344 autoreload File /opt/homebrew/Cellar/python@3.13/3.13.5/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_queue.cpython-313-darwin.so first seen with mtime 1751932474.011888
DEBUG 2025-12-04 07:00:04,344 autoreload File /Volumes/Programming/React-Python/YAW/Illustration-System/backend/venv/lib/python3.13/site-packages/django/db/models/functions/__init__.py first seen with mtime 1764340271.6817994
